,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,q,alpha,lambda,S
0,0.0,554.11,806.34,343.35,429.86,171.23,642.13,660.37,256.87,655.79,463.79,289.7,224.18,626.34,432.53,275.41,669.65,237.07,347.67,277.89,363.94,209.8,346.67,215.52,168.15,462.41,503.04,422.66,467.31,752.84,261.2,268.61,146.73,339.52,248.29,267.56,751.97,649.14,486.15,434.72,340.2,366.67,525.88,798.57,325.28,874.02,201.06,582.68,546.69,734.48,153.38,574.42,518.41,342.43,591.4,644.84,328.9,481.93,227.48,419.01,447.92,289.7,629.23,428.71,307.51,518.68,524.68,441.37,565.01,660.27,675.43,606.29,482.69,402.17,650.06,269.81,594.56,418.63,565.8,156.22,234.36,480.8,486.41,559.55,563.53,304.14,578.34,520.34,409.59,639.43,575.54,428.44,599.89,356.27,338.42,296.94,381.49,359.47,647.88,644.24,257.33,0.0,0.0,0.0,0.0
1,554.11,0.0,669.28,609.13,327.6,382.9,667.73,505.08,649.97,177.73,484.83,843.78,404.59,284.7,543.89,292.41,234.23,594.25,357.24,813.34,346.45,702.8,256.63,742.88,518.51,484.11,803.2,883.18,556.12,770.01,806.78,602.9,561.73,743.49,587.8,374.19,766.03,683.06,862.57,473.78,562.69,267.11,550.09,831.01,531.38,800.55,460.63,899.59,789.16,656.53,705.35,1068.88,1003.89,734.09,135.37,229.83,691.38,612.85,465.59,613.79,616.33,784.93,1112.31,519.71,606.42,518.37,157.46,606.32,117.0,250.6,123.46,1099.66,613.8,739.32,252.94,773.66,195.02,561.23,560.8,709.94,592.07,1000.01,608.19,1049.31,164.12,852.55,69.53,692.57,587.03,1052.84,176.98,931.22,147.56,811.55,678.4,657.16,657.88,867.15,1090.75,1116.14,738.15,0.0,11.0,1.0,38.0
2,806.34,669.28,0.0,522.48,424.01,720.92,223.9,171.54,649.58,535.28,342.65,1003.39,594.74,390.48,388.58,749.36,474.27,619.75,483.07,892.77,901.15,770.29,791.62,837.92,911.87,344.03,561.22,798.25,355.76,211.23,1026.03,1031.88,924.51,1138.27,603.95,856.95,206.46,230.67,674.59,371.65,495.29,823.51,288.4,251.92,495.94,140.16,888.88,614.34,488.76,90.14,879.77,967.83,907.93,1138.01,541.69,461.74,617.34,372.54,578.87,444.21,413.85,804.47,976.38,384.51,557.84,288.95,515.45,413.82,553.48,446.65,720.81,987.18,372.37,1183.72,437.32,1071.53,478.73,411.42,247.19,913.43,620.79,972.91,364.03,945.52,505.45,1053.75,607.08,400.1,435.9,824.14,493.64,894.57,532.02,1162.61,592.2,1076.93,523.78,866.4,893.1,958.79,765.74,0.0,12.0,1.0,51.0
3,343.35,609.13,522.48,0.0,310.5,359.61,321.31,420.27,127.47,615.65,215.14,483.01,235.92,512.27,141.01,458.02,595.58,110.32,253.65,370.42,611.0,248.85,535.14,316.48,497.11,214.36,201.11,314.4,169.19,422.04,514.34,609.11,487.54,679.04,96.54,525.84,422.0,324.48,255.22,197.34,49.04,568.08,237.9,461.86,78.24,558.3,505.02,297.27,216.23,437.66,369.44,504.84,438.44,683.46,566.4,567.89,106.48,154.74,171.49,82.68,114.39,284.93,534.61,155.71,38.42,249.0,492.94,111.36,551.22,573.33,725.02,531.75,155.19,745.41,559.5,578.74,533.19,114.16,277.83,407.4,112.49,475.98,161.97,482.76,521.44,537.11,592.71,177.41,86.59,446.47,525.02,396.36,568.04,680.94,83.57,640.22,51.42,354.62,491.55,530.3,243.82,0.0,14.0,1.0,73.0
4,429.86,327.6,424.01,310.5,0.0,307.19,353.5,255.98,391.56,305.28,157.69,687.14,206.17,213.22,218.69,325.41,287.14,338.25,84.05,611.72,479.54,483.98,372.08,542.7,501.17,156.89,488.6,617.1,228.63,464.61,682.7,619.07,521.9,737.14,326.09,433.11,461.31,367.87,563.69,146.54,261.46,405.31,227.04,524.49,234.47,530.95,470.72,583.06,465.65,378.84,546.09,808.72,741.99,734.49,258.79,259.36,409.66,285.82,228.48,294.93,292.75,552.13,842.59,194.09,320.67,197.21,188.06,283.05,247.13,267.03,430.67,837.09,286.75,772.16,253.74,698.5,222.7,238.92,245.37,568.86,337.22,763.79,280.85,787.2,212.51,720.47,294.74,365.82,268.07,754.48,214.98,686.78,259.19,775.28,390.71,667.59,352.86,632.74,801.89,839.91,504.1,0.0,13.0,1.0,70.0
5,171.23,382.9,720.92,359.61,307.19,0.0,595.8,559.3,331.14,490.72,392.83,460.93,138.71,479.1,392.04,116.21,510.35,285.55,237.93,437.92,252.72,341.88,195.62,369.64,193.98,391.43,553.93,545.63,423.51,711.84,427.79,312.41,217.61,431.35,287.93,166.6,709.88,606.29,570.98,364.8,333.26,223.49,466.23,765.32,306.11,810.86,168.88,645.8,575.68,661.89,323.0,717.08,655.99,427.99,425.79,487.12,394.61,457.52,191.05,413.15,434.61,426.69,767.38,378.84,335.12,449.2,363.02,425.56,398.55,504.2,504.46,748.85,458.46,465.34,495.29,412.76,435.61,389.17,501.05,327.25,282.6,634.28,458.86,699.81,402.01,472.46,408.43,517.57,394.24,746.7,415.17,572.97,435.11,476.16,393.15,360.4,409.1,505.26,768.32,777.55,384.47,0.0,13.0,1.0,58.0
6,642.13,667.73,223.9,321.31,353.5,595.8,0.0,218.19,447.68,584.39,208.46,803.13,458.03,437.87,210.28,655.15,535.62,427.98,375.76,685.29,816.02,568.97,714.93,636.27,772.82,209.75,337.38,576.39,175.93,116.28,835.42,891.92,775.54,981.47,412.7,752.3,114.13,15.81,450.69,233.73,306.2,749.21,132.26,173.0,317.04,237.04,762.83,394.68,266.09,133.84,689.97,743.96,684.32,983.7,565.11,513.7,405.41,166.71,421.88,238.84,207.08,593.03,752.84,218.43,359.2,157.5,512.52,210.12,565.7,506.71,751.91,763.31,166.21,1038.37,493.62,894.8,507.47,223.89,108.3,726.97,429.62,751.56,160.07,721.67,519.52,858.33,620.01,177.34,238.52,604.07,513.37,673.97,559.55,993.31,380.76,930.96,311.85,649.76,671.66,735.83,557.94,0.0,12.0,1.0,54.0
7,660.37,505.08,171.54,420.27,255.98,559.3,218.19,0.0,540.73,387.98,210.74,883.13,440.7,238.42,279.3,580.18,332.24,501.1,322.37,783.95,730.27,656.3,620.44,722.54,752.43,211.86,517.12,724.58,254.42,286.23,895.48,871.64,768.9,984.11,485.6,688.75,281.51,233.03,622.76,236.32,382.33,652.15,189.42,344.89,373.84,295.69,725.42,591.54,458.81,154.08,750.96,907.82,843.67,982.7,383.38,314.24,524.68,294.53,435.87,354.94,330.39,704.05,926.6,266.12,450.09,171.66,348.83,326.34,391.59,303.2,568.11,931.19,294.82,1024.4,291.5,929.39,321.06,306.72,158.23,781.02,501.5,893.43,285.34,885.26,343.22,927.46,446.27,352.4,337.92,795.61,333.02,813.68,375.07,1014.83,500.03,918.59,436.86,774.84,858.1,914.51,660.59,0.0,6.0,1.0,1.0
8,256.87,649.97,649.58,127.47,391.56,331.14,447.68,540.73,0.0,687.89,331.0,355.71,246.47,603.35,264.2,444.0,677.56,56.08,317.53,244.3,580.13,121.46,524.22,189.04,423.18,330.0,246.29,233.62,294.81,544.72,390.37,524.51,403.18,576.08,65.76,486.97,545.03,450.06,240.63,308.47,158.46,553.88,363.41,580.65,169.96,684.33,445.11,327.29,294.98,565.11,247.98,422.61,356.44,582.38,632.1,649.86,72.03,281.66,184.59,208.97,240.68,165.22,462.93,274.73,91.98,371.5,557.48,238.46,612.65,658.45,771.49,452.47,282.06,649.46,645.26,462.87,609.1,239.08,403.93,287.84,58.05,372.34,289.15,402.04,590.74,410.95,646.59,291.93,213.8,417.03,597.17,295.3,636.0,568.37,84.22,548.18,142.52,242.59,444.87,466.18,120.0,0.0,15.0,1.0,98.0
9,655.79,177.73,535.28,615.65,305.28,490.72,584.39,387.98,687.89,0.0,440.7,940.38,462.22,149.63,515.1,428.67,63.57,632.51,370.6,887.54,515.19,765.57,414.89,816.48,656.84,440.47,790.11,918.32,516.14,671.51,916.55,754.07,694.74,891.9,622.23,526.8,666.99,600.2,868.83,440.45,566.62,432.31,488.59,731.38,538.96,673.27,604.44,882.59,759.11,541.6,797.7,1109.44,1042.84,884.16,65.03,74.06,713.0,574.28,509.38,596.27,589.56,841.21,1145.63,490.64,624.0,456.03,133.79,580.54,93.09,88.96,186.7,1138.53,575.1,897.7,98.05,901.14,83.74,538.66,486.37,810.35,630.99,1056.55,567.51,1088.32,97.49,959.93,110.14,653.16,569.82,1059.41,91.02,981.88,55.9,952.54,694.99,808.23,657.95,923.54,1107.14,1144.06,792.91,0.0,13.0,1.0,62.0
