,0,1,2,3,4,5,6,7,8,9,10,q,alpha,lambda,S
0,0.0,554.11,806.34,343.35,429.86,171.23,642.13,660.37,256.87,655.79,463.79,0.0,0.0,0.0,0.0
1,554.11,0.0,669.28,609.13,327.6,382.9,667.73,505.08,649.97,177.73,484.83,0.0,11.0,1.0,38.0
2,806.34,669.28,0.0,522.48,424.01,720.92,223.9,171.54,649.58,535.28,342.65,0.0,12.0,1.0,51.0
3,343.35,609.13,522.48,0.0,310.5,359.61,321.31,420.27,127.47,615.65,215.14,0.0,14.0,1.0,73.0
4,429.86,327.6,424.01,310.5,0.0,307.19,353.5,255.98,391.56,305.28,157.69,0.0,13.0,1.0,70.0
5,171.23,382.9,720.92,359.61,307.19,0.0,595.8,559.3,331.14,490.72,392.83,0.0,13.0,1.0,58.0
6,642.13,667.73,223.9,321.31,353.5,595.8,0.0,218.19,447.68,584.39,208.46,0.0,12.0,1.0,54.0
7,660.37,505.08,171.54,420.27,255.98,559.3,218.19,0.0,540.73,387.98,210.74,0.0,6.0,1.0,1.0
8,256.87,649.97,649.58,127.47,391.56,331.14,447.68,540.73,0.0,687.89,331.0,0.0,15.0,1.0,98.0
9,655.79,177.73,535.28,615.65,305.28,490.72,584.39,387.98,687.89,0.0,440.7,0.0,13.0,1.0,62.0
10,463.79,484.83,342.65,215.14,157.69,392.83,208.46,210.74,331.0,440.7,0.0,0.0,15.0,1.0,98.0
