,rent,run,v_task,v_path
0,100.0,10.0,30.0,357.0
1,100.0,10.0,30.0,357.0
2,100.0,10.0,30.0,357.0
3,100.0,10.0,30.0,357.0
4,100.0,10.0,30.0,357.0
5,100.0,10.0,34.0,378.0
6,100.0,10.0,34.0,378.0
7,100.0,10.0,34.0,378.0
8,100.0,10.0,34.0,378.0
9,100.0,10.0,34.0,378.0
10,100.0,10.0,27.0,313.0
11,100.0,10.0,27.0,313.0
12,100.0,10.0,27.0,313.0
13,100.0,10.0,27.0,313.0
14,100.0,10.0,30.0,357.0
15,100.0,10.0,30.0,357.0
16,100.0,10.0,30.0,357.0
17,100.0,10.0,30.0,357.0
18,100.0,10.0,30.0,357.0
19,100.0,10.0,34.0,378.0
20,100.0,10.0,34.0,378.0
21,100.0,10.0,34.0,378.0
22,100.0,10.0,34.0,378.0
23,100.0,10.0,34.0,378.0
24,100.0,10.0,27.0,313.0
25,100.0,10.0,27.0,313.0
26,100.0,10.0,27.0,313.0
27,100.0,10.0,27.0,313.0
