,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,q,alpha,lambda,s
0,0.0,554.11,768.54,343.35,429.86,171.23,642.13,660.37,256.87,655.79,463.79,289.7,224.18,626.34,432.53,275.41,669.65,237.07,347.67,277.89,363.94,209.8,346.67,215.52,168.15,462.41,503.04,422.66,467.31,752.84,261.2,268.61,146.73,339.52,248.29,267.56,751.97,649.14,486.15,434.72,340.2,0.0,0.0,0.0,0.0
1,554.11,0.0,658.95,609.13,327.6,382.9,667.73,505.08,649.97,177.73,484.83,843.78,404.59,284.7,543.89,292.41,234.23,594.25,357.24,813.34,346.45,702.8,256.63,742.88,518.51,484.11,803.2,883.18,556.12,770.01,806.78,602.9,561.73,743.49,587.8,374.19,766.03,683.06,862.57,473.78,562.69,0.0,11.0,1.0,38.0
2,768.54,658.95,0.0,479.12,397.44,688.77,179.12,154.28,606.41,534.06,304.92,960.8,560.02,386.25,346.78,722.49,474.89,577.7,451.63,849.19,876.62,727.35,768.04,795.02,878.26,306.32,516.5,753.27,313.46,176.78,984.79,998.43,889.35,1102.3,561.91,828.84,171.84,186.32,629.77,334.1,453.11,0.0,12.0,1.0,51.0
3,343.35,609.13,479.12,0.0,310.5,359.61,321.31,420.27,127.47,615.65,215.14,483.01,235.92,512.27,141.01,458.02,595.58,110.32,253.65,370.42,611.0,248.85,535.14,316.48,497.11,214.36,201.11,314.4,169.19,422.04,514.34,609.11,487.54,679.04,96.54,525.84,422.0,324.48,255.22,197.34,49.04,0.0,14.0,1.0,73.0
4,429.86,327.6,397.44,310.5,0.0,307.19,353.5,255.98,391.56,305.28,157.69,687.14,206.17,213.22,218.69,325.41,287.14,338.25,84.05,611.72,479.54,483.98,372.08,542.7,501.17,156.89,488.6,617.1,228.63,464.61,682.7,619.07,521.9,737.14,326.09,433.11,461.31,367.87,563.69,146.54,261.46,0.0,13.0,1.0,70.0
5,171.23,382.9,688.77,359.61,307.19,0.0,595.8,559.3,331.14,490.72,392.83,460.93,138.71,479.1,392.04,116.21,510.35,285.55,237.93,437.92,252.72,341.88,195.62,369.64,193.98,391.43,553.93,545.63,423.51,711.84,427.79,312.41,217.61,431.35,287.93,166.6,709.88,606.29,570.98,364.8,333.26,0.0,13.0,1.0,58.0
6,642.13,667.73,179.12,321.31,353.5,595.8,0.0,218.19,447.68,584.39,208.46,803.13,458.03,437.87,210.28,655.15,535.62,427.98,375.76,685.29,816.02,568.97,714.93,636.27,772.82,209.75,337.38,576.39,175.93,116.28,835.42,891.92,775.54,981.47,412.7,752.3,114.13,15.81,450.69,233.73,306.2,0.0,12.0,1.0,54.0
7,660.37,505.08,154.28,420.27,255.98,559.3,218.19,0.0,540.73,387.98,210.74,883.13,440.7,238.42,279.3,580.18,332.24,501.1,322.37,783.95,730.27,656.3,620.44,722.54,752.43,211.86,517.12,724.58,254.42,286.23,895.48,871.64,768.9,984.11,485.6,688.75,281.51,233.03,622.76,236.32,382.33,0.0,12.0,1.0,44.0
8,256.87,649.97,606.41,127.47,391.56,331.14,447.68,540.73,0.0,687.89,331.0,355.71,246.47,603.35,264.2,444.0,677.56,56.08,317.53,244.3,580.13,121.46,524.22,189.04,423.18,330.0,246.29,233.62,294.81,544.72,390.37,524.51,403.18,576.08,65.76,486.97,545.03,450.06,240.63,308.47,158.46,0.0,15.0,1.0,98.0
9,655.79,177.73,534.06,615.65,305.28,490.72,584.39,387.98,687.89,0.0,440.7,940.38,462.22,149.63,515.1,428.67,63.57,632.51,370.6,887.54,515.19,765.57,414.89,816.48,656.84,440.47,790.11,918.32,516.14,671.51,916.55,754.07,694.74,891.9,622.23,526.8,666.99,600.2,868.83,440.45,566.62,0.0,13.0,1.0,62.0
