NAME : 	X-n101-k25	
COMMENT : 	"Generated by Uchoa, Pecin, Pessoa, Poggi, Subramanian, and Vidal (2013)"	
TYPE : 	CVRP	
DIMENSION : 	41	
EDGE_WEIGHT_TYPE : 	EUC_2D	
CAPACITY : 	206	
NODE_COORD_SECTION		
1	365	689
2	146	180
3	792	50
4	658	510
5	461	270
6	299	531
7	812	228
8	643	90
9	615	630
10	258	42
11	616	299
12	475	957
13	425	473
14	406	64
15	656	369
16	202	467
17	318	21
18	579	587
19	458	354
20	575	871
21	47	512
22	568	742
23	128	436
24	546	806
25	197	696
26	615	300
27	852	563
28	772	803
29	678	342
30	916	176
31	390	949
32	113	782
33	226	736
34	119	923
35	584	572
36	134	554
37	912	173
38	827	233
39	851	677
40	598	322
41	627	472
DEMAND_SECTION		
1	0	
2	38	
3	51	
4	73	
5	70	
6	58	
7	54	
8	44	
9	98	
10	62	
11	98	
12	25	
13	86	
14	46	
15	27	
16	17	
17	97	
18	74	
19	81	
20	62	
21	59	
22	23	
23	62	
24	66	
25	35	
26	53	
27	18	
28	87	
29	32	
30	43	
31	61	
32	95	
33	23	
34	15	
35	52	
36	53	
37	97	
38	70	
39	32	
40	27	
41	42	
DEPOT_SECTION		
	1	
	-1	
EOF		
